texto,sentimento
recebi corretamente o produto,neutro
recebi o produto dentro do prazo informado ainda não utilizei,positivo
o pedido chegou antes do combinado muito bom,positivo
produto entregue conforme anunciado,positivo
recebe apenas peça do produto estou precisando da peças restante,neutro
o violão que comprei é lindo porém a cor do adesivo não confere com a foto do ato da compra mas aprovei,positivo
nem fizeram a nota fiscal,negativo
chegou antes do prazo produto excelente,positivo
trabalho com profissionalismo das lojas lannister indico com certeza,positivo
o mp player não funciona mesmo trocando a pilha diversas vezes tive que devolver,negativo
super recomendo o produto que é muito bom,positivo
pré treino muito bom um dos melhores do mercado se não for o melhor,positivo
a loja postou o produto de e mediato o correio demorou um pouco,positivo
sempre compro no stark e sempre sou bem atendido site eficiente e produtos de ótima qualidade recomendo a todos podem comprar de olhos fechados,positivo
muito bom desde da compra a entrega td direitinho e rapido,positivo
a targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia empresa falsa quero receber meus produtos que foram pagos com boleto bancari,negativo
entrega e qualidade do produto de acordo com o esperado,positivo
a bolsa e muito bonita por fora mas dentro não tem forro e é bem fragil,neutro
quando instalei o cartucho de tinta a minha impressora indicou que o mesmo estava vazio e apresentou a mensagem de erro em cima do marcador de nível da tinta já solicitei a troca,negativo
muito bom recomendo o produto,positivo
quanto ao site não tenho o que questionar sempre cumprem super o combinado recomendo sempre mas o produto é fraco,positivo
bom em todos os aspectos,positivo
até hoje estou satisfeito com a sbmarino,positivo
não foram entregue as duas capas de couro compradas apenas uma delas aguardo a devolução do dinheiro ou a entrega da segunda capa,negativo
fiquei feliz com o tecido mas acho que faltou o lençol de cima para ficar completo espero que logo lancem,neutro
chegou antes do prazo é a cabeceira é linda,positivo
houve alguma confusão entre vendedor e o stark pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega neguei e recebi o produto dias depois,neutro
gostei do produto chegou no tempo certo os vendedores estão de parabéns,positivo
no dia de maio usei e a à alça quebrou sem muito peso,negativo
toalha do maior campeão do brasil maravilhosa,positivo
a entrega foi realizado muito antes do previsto bom produto estou satisfeita,positivo
até agora tudo bem estou esperando a entrega do produto,positivo
a compra ocorreu como o esperado desde de o pedido até o recebimento do produto tudo bem certinho,positivo
o produto foi entregue antes do prazo,positivo
gostei muito do produto era exatamente boque eu esperava entrega dentro do prazo parabéns recomendo a loja,positivo
comprei o produto na cor preta e chegou na cor vermelha,negativo
já é a segunda vez que compro nesta loja super eficiente entrega rápida e antes do prazo contratado produto bem embalado nota muito obrigado,positivo
pensei que a mochila fosse um material mais resistente,negativo
comprei um produto e veio outro mandei msg informando o erro porém não obtive resposta obrigado,negativo
o produto demora muita para chegar,negativo
so recebemos um relogio pelo correio att,neutro
entrega rápida produto conforme esperado,positivo
tudo como anunciado ótimo produto,positivo
produto de boa qualidade exatamente conforme anunciado e o preço baixo é uma atrativo a mais,neutro
somente foi entregue uma unidade ao invés de duas,negativo
adorei o produto recebi antes do prazo combinado ficou muito bonito,positivo
otimo produto porem caro demais,positivo
produtos otimos entrega rápida super recomendo,positivo
recebi sim mais com defeito os encaixes sao dois igual e nao fecham,negativo
ainda não recebi,negativo
tive um pós venda excelente através do sr renato,positivo
gostei muito do produto a entrega veio antes do prazo recomendo fica bem encaixado no celular não tira a elegância do aparelho como outras as capas que deixam monstruoso com o tamanho,positivo
até agora nao recebi comprei este aparelho por questao de saude portanto nao recomendo esta loja,negativo
recomendo a todos produto de ótima qualidade entregue sem problemas,positivo
produto chegou dentro do prazo veio conforme descrição e é excelente,positivo
o produto chegou antes do prazo e gostei bastante agora meu rapazinho de aninhos vai aproveitar ao maximo,positivo
gostaria de saber quando chegará meu produto pois já se passou a data prevista para entrega gostaria de uma resposta estou aguardando,negativo
parabéns recebi antes do prazo tudo correto como foi combinado,positivo
o produto entregue difere do pedido trata se de um produto inferior gostaria que fosse solucionado o problema não estou satisfeito com procedimento,negativo
muito bom mesmo,positivo
comprei o produto paguei no boleto e só recebi metade do produto anunciaram uma coisa é mandaram outra muito insatisfeita,negativo
entrega antes do prazo produto muito bem conservado,positivo
produto de ótima qualidade adorei,positivo
apesar da demora em expedir a nota fiscal depois de expedida a entrega foi rápida e o produto veio bem embalado recomendo,positivo
comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,negativo
não recebi o produto assim como nenhum contato por parte do vendedor,negativo
nem ratrear estou conseguindo,negativo
esperando o instalador,neutro
comprei um produto para ser entregue por essa loja e ainda não recebi pois assim já se passou a data de entrega,negativo
ótima compra ótimo produto só senti falta de algum comunicado entre a compra e a chegada do produto só contato mas valeu,positivo
veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,negativo
comprei duas mochilas recebi apenas uma o natal está chegando e até agora nada,negativo
o preço foi ótimo o prazo de entrega que é longo mais de mês para entregar comprei cartuchos e entregaram apenas reclamei e enviaram o outro ainda dentro do prazo de entrega,neutro
prazo foi estendido porém entregue no prazo divulgado na propaganda cadeira conforme foto vem para montar mais fácil e linda,positivo
simplesmente lindo adorei o produto tamanho perfeito já comprei várias produtos já faz anos que compro no baratheon,positivo
muito bom chegou dentro do prazo,positivo
otimo preço entregou antes do prazo e produto de ótima qualidade,positivo
comprei um relogio de presente de natal para meu filho e ate agora nao chegou enviei mensagens e na ultima conversa o relogio chegaria ontem porem nao recebi nada,negativo
só poderia entregar mais rápido fim de ano,positivo
otima venda tudo perfeito,positivo
produto de ótima qualidade chegou antes do tempo esperado amei,positivo
veio bem embalado envio rápido,positivo
estou muito satisfeita com a minha compra e com o recebimento do produto dentro do prazo,positivo
até agora não recebi nada a colcha estava prevista para anteontem e até agora nada,neutro
os pincéis vieram amassados não condiz com algumas fotos mas condiz com a descrição são fracos não cabem na case e um veio descolado,negativo
produto correspondente as minhas expectativas foi entregue antes do prazo estabelecido,positivo
indico a loja compro sempre na lannister,positivo
o produto veio diferente da q mostra na foto não é de luxo nem acolchoado como dizia,negativo
foi tudo normal como é mesmo uma compra por internet obrigado,positivo
produto chegou dentro do prazo atende pelo custo benefício porém a bolsa não é forrada e a alça é de plástico estou satisfeita,positivo
estou plenamente satisfeita com minha aquisição e recomendo a única coisa que não concordo é com o valor de frete autíssimo,positivo
comprei só enviaram,neutro
parece que mantem bem o alimento sem murchar batata palha mas a tampa é estranha parece que não fecha e o inox da tampa é feio,negativo
estou aguardando uma resposta até hoje sobre os meus produtos já foram pagos e ainda não os recebi foram iguais e necessito falar com pessoas e não máquina ou gravações,negativo
entrega e produto perfeito,positivo
parabéns pelo excelente atendimento de qualidade,positivo
produto entregue antecipadamente,positivo
gostei de comprar recebi o produto antes do prazo e de boa qualidade recomendo,positivo
super recomendo stark sempre chegando antes da dta prevista d,positivo
correios não entregou,positivo
entrega feita no prazo e produto em perfeitas condicoes parabens a equipe,positivo
ainda não recebi o produto,neutro
gostaria de receber os produtos corretos tentei realizar a troca pela devolução de dinheiro no cartão mas o site da lannister não possibilita que seja realizado,negativo
produto perfeito entrega rápida estou satisfeitíssima,positivo
meu produto veio com defeito devolvi conforme informado postado no correio conforme indicado e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento,negativo
o pedido chegou antes do prazo obrigada,positivo
só recebemos cartucho já abrimos reclamação no site e ainda não obtive resposta,negativo
produto de alta qualidade descrição confere com o produto entregue no tempo certo recomendo,positivo
o tampo da mesa chegou todo amassado e batido,negativo
dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em dias,negativo
o relógio é lindo e a entrega foi muito rápida recomendo,positivo
adorei pequeno fácil de usar não arranha apela e limpa a pele recomendo,positivo
como sempre excelente serviço,positivo
até o momento eu n recebir o produto,negativo
como sempre lannister entrega certinho,positivo
produto perfeito chegou antes do prazo,positivo
muito bom o produto melhor que esperava e foi entregue no prazo gostei bastante,positivo
muito bom o produto e preço cobrado,negativo
muito bom o produto recomendo,positivo
entrega dentro do prazo isso é importante,positivo
gostei muito o objeto veio o mesmo comprado já comprei em outras lojas e veio outra cor ñ gostei com lannister tudo ok,positivo
o aparelho chegou apresentando defeito não está apresentando todas as funções no visor digital,neutro
o produto não está nas medidas corretas indicadas na oferta terei q ligar para vcs para troca,negativo
no aguardo de um retorno urgente,negativo
produto mais que passou do prazo de entregar tento resolver o problema com a empresa e não consigo falar com ninguém tudo que fazem é me passar para reclamar num sistema que não funciona,negativo
só recebi um produto consta que já recebi os dois não recebi a sapateira,neutro
deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo,negativo
excelente produto indico a qualquer pessoa,negativo
tudo certinho entrega no prazo ótimo,positivo
não recebi o produto e agora,negativo
comprei tapete de borracha para tr mitsubishi a loja entregou um tapete de pvc horrivel no titulo ta tapete borracha tr me enganaram e agora o que fazer sendo que tem despesa para devoluçao por,negativo
ótimo perfume fragrância maravilhosa recomendo,positivo
muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes,positivo
o produto superou minha expectativa o prazo de entrega foi antecipado em dias já instalei e ficou show,positivo
previsão de entrega até recebi em excelente,positivo
solicitei devolução produto com defeito,neutro
loja em si é boa pena a americana nao da suporte ao cliente,positivo
exatamente o que eu precisava,positivo
achei a qualidade do produto muito ruim não veio nenhuma bucha ou parafuso para fixar na parede,neutro
obrigada chegou mto rápido,positivo
o único problema é que a marcação de data é a marcação americana,positivo
acho que o produto deveria ter um prazo de validade maior,positivo
entrega antes do prazo recomendo essa loja,positivo
boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada,neutro
excelente produto bonito e sofisticado,positivo
não veio a nota fiscal,positivo
agradeço muito pois recebi o produto correto conforme encontrado no site a entrega foi super rápida fiquei muito satisfeito e com certeza vou recomentar para os amigo,positivo
entrega rápida produto conforme anunciado,positivo
meu produto ainda não foi entregue já fiz minha reclamação e até agora não tive nenhuma previsão de entrega estou super insatisfeito e quero meu dinheiro de volta foi denunciar ao procon,negativo
a cortina não é o modelo que pedi,negativo
a impressão está saindo com a tinta fraquinha,neutro
comprei rosa com braços brancos e entregam toda preta,negativo
preciso de uma previsão,negativo
estou muito satisfeita chegou antes do prazo super recomendo,positivo
produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas,positivo
entrega dentro do prazo produto sem nenhum problema,positivo
boa qualidade e preço,positivo
sempre entrega antes do prazo,positivo
muito bom super recomendo entrega sempre certa,positivo
boas pessoal a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar o que será que aconteceu,neutro
entregue antes do prazo produto perfeito,positivo
recomendo para todos não tive problema nenhum mercadoria e prazo ótimos,positivo
gostei de ter comprado nesta loja atendimento perfeito,positivo
comprei uma cadeira recebi no prazo porém a cadeira veio quebrada na parte inferior poderiam ter um maior cuidado na embalagem,neutro
sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,positivo
entrega muito rapida,positivo
o produto foi entregue bem antes do prazo adorei,positivo
ainda nao instalei mais gostei muito,positivo
bom produto entrega rápida recomendo,positivo
produto recebido no prazo e em perfeitas condições,positivo
recebi outra boneca quero devolver e não consigo contato jamais compraria novamente dessa loja,negativo
ótima compra mas o frete nao compensa pesa no orçamento devia ter frete grates,neutro
o produto chegou como eu imaginava por enquanto estou gostando,positivo
ótima rápida na entrega obrigado,positivo
penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue,negativo
produto bom prazo bom,positivo
muito bom já é o segundo objeto que compro e recebi sem problema nenhum,positivo
bonito e de boa qualidade adorei,positivo
o produto chegou antes do prazo,positivo
boa noite não gostei pois nunca conseguimos falar com vcs pelo telefone,negativo
vendedor compromisso do vou o cliente,positivo
o produto não atendeu minhas espectativas pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem,neutro
muito satisfeito entrega super rápida show parabéns eu vacilei e comprei um celular nas casas bahia tem quase um mês e não entregaram,positivo
tudo cento e no prazo recomento,positivo
não recebi o jogo na cor tabaco só o vermelho,negativo
nao foi entregue na minha casa por isso nao gostei nao tenho tempo de esta indo nos correios,negativo
o produto veio estragado,negativo
minha mercadoria não foi entregue já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria,negativo
produto ja chegou com defeito não fucionou conforme minha necessidade de uso infelizmente ultima compra minha totalmente insatisfeito,negativo
recebi apenas caixa com unidades e pedi caixas,neutro
comprei dois pendentes só chegou um preciso saber o que foi que houve,negativo
recomendo esta loja entrega direitinho,positivo
tudo conforme e entrega muito rápida que pena que não verifiquei a cor pois era preta e precisava de cinza outro ponto que tive que lixar pouco para funcionar mas nada demais,positivo
entrega rapida e correta,positivo
produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço,positivo
produto veio com amassados e também não está funcionando corretamente,negativo
gostei do produto,positivo
produto de ótima qualidade,positivo
estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação,negativo
estou aguardando posição da empresa para fazer a devolução do produto,negativo
fornecedor não enviou o produto correto solicitei o sabor chocolate e me foi enviado outro sabor,negativo
recomendo está loja,positivo
continuem assim com essa responsabilidade com o consumidor tanto no produto quanto no prazo de entrega primeira vez que compro e vou comprar muitas obrigado,positivo
adorei moderno bonito meu cantinho do café vai ficar top,positivo
bom foi o que esperava,positivo
tudo correu como combinado nada a reclamar,positivo
de fácil manuseio até o presente atende as expectativas,positivo
relógio lindo entrega antes do prazo,positivo
veio conforme o anunciado simples mais bonita,positivo
produto condiz com o anúncio,positivo
o produto ainda não chegou,negativo
satisfeito eu recomendo,positivo
amei chegou rapidinho ainda vou testa lo obrigado,positivo
gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,positivo
ainda não recebi o produto,negativo
recebi a bolsa é diferente mas gostei estava previsto pra de janeiro estava achando muito tempo porque é pra escola e estou aguardando o vale compra da primeira compra da bolsa que não deu certo,positivo
recebi o produto que queria e antes do prazo combinado muito bom recomendo com certeza,positivo
na propaganda está escrito mixer elétrico e veio um portátil que eu tenho três que quebrou por isso eu queria um elétrico vocês devem especificar melhor os produtos,neutro
produto entregue antes do prazo combinado não é a primeira vez que compro pelo site lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes,positivo
comprei produtos so mandaram e n mim deram nenhuma justificativa,negativo
agradeço muito bom,positivo
dentro do previsto,positivo
recebi antes do prazo estimado,positivo
só imaginei que fosse maior a boneca mais é legal,positivo
tive problema na entrega pois não tinha ninguém em casa para receber a mercadoria no horário que passaram,negativo
atenciosos ligam para dar acompanhamento bom prazo de validade demorou de chegar agora é verificar a qualidade do produto,positivo
muito eficiente entregou bem rápido eu recomendo,positivo
muito lindo o relógio,neutro
otimo produto e entrega no prazo,positivo
chegou antes da data do prazo porem vazou um pouco do produto,positivo
sempre que compro com vocês meus itens chega em perfeito estado,positivo
produto entregue antes do prazo em ótimo estado,positivo
entrega super rápida produto de ótima qualidade recomendo,positivo
produto lindo ótimo,positivo
esperava mais as toalhas poderiam ser mais grossas,neutro
entrega uma dia antes do previsto,positivo
demora um pouco pra esquentar mesmo na potência máxima mas atende bem nos rimeiros dias de uso tem um cheiro meio que borracha queimada mas passa recomendo pela praticidade e custo benefício,positivo
foi entregue bem embalado entrega rapido comforme prometido comforme a imagem,positivo
tudo ocorreu de forma eficiente,positivo
o produto chegou antes do prazo e em perfeitas condições,positivo
o produto não corresponde ao que eu comprei a película é muito menor que a tela do celular e não cobre toda a tela,negativo
produto conforme anunciado e veio antes do prazo perfeito,positivo
produto bom e entregue antes do previsto,positivo
ainda não usei em nenhuma viagem mas parece ser muito boa,positivo
o produto foi encaminhado para cidade de destino no dia e até o momento não recebi,negativo
produto não foi entregue,negativo
simplesmente não recebi meu produto e nao tenho um posicionamento decente do que acontecerá,negativo
não recebi o braço de ducha com desviador somente a ducha x com braço de cm,negativo
adoro comprar nas lojas lannister,positivo
entrega muito rápido e produto excelente,positivo
o produto pode estar com mal funcionamento ou o meu telefone não está conseguindo fazer a leitura,negativo
loja sem vergonha não entregaram o pedido e tiveram a descaração de duerem que eu o cancelei porcaria de vendedor stark escolheu muito mal o seu paeceiro,negativo
recebi o produto que eh falso quero meu dinheiro de volta,positivo
produto não veio conforme estava no site mostrava calendário site mas quando recebi veio sem e esta difícil para fazer a troca e estorno do produto,negativo
produto bom entrega antes do prazo,positivo
comprei dois produtos sendo que um deles não chegou um cabo adaptador de áudio,negativo
gostei muito chegou tudo certinho até antes do prazo de entrega,positivo
produto entregue dentro do prazo,positivo
fornecedor targaryen me mandou um massageador completamente diferente do que comprei de preço inferior e cheio de avaliações negativas ninguém erra mandando um superior né curioso ou seja n recomendo,negativo
recebi o produto no prazo tudo ok,positivo
muito ruim não veio um produto e o outro veio errado,negativo
abri protocolo para devolução produto de baixa qualidade deu problema no primeiro dia de uso lannister virou um mercado livre pedidos problemas,negativo
entrega no prazo e como descrito no site,positivo
a lannister sempre se superandoo,positivo
fui surpreendido pela eficácia ótimo atentimento,positivo
otimo atendimento tudo certo entregue dentro do prazo,positivo
obrigada pela qualidade do produto e pela entrega tbm que era previsto para e chegou dia adorei parabéns,positivo
a mercadoria não foi entregue ainda,negativo
ainda não utilizei o produto,positivo
recebi a encomenda de forma normal e dentro do prazo contudo recebi de primeira uma data de entrega estimada e que posterior a data foi aumentando não gostei dessa atitude demorou semanas,negativo
eu pedi q cancelacem antes da nf ser emitida pq eu havia ganhado de presente um igual não cancelaram mandaram assim msm eu pedi quando a nf ainda não tinha sido emitida,negativo
muito linda deu um charme na minha sala,positivo
ótimo atendimento e entrega antes do prazo,positivo
não recebi o produto completo comprei quantidade e recebi somente e consta na nota da entrega tem quantidade e com volume quero receber a outra sem custo nenhum pois o erro não foi me,neutro
as bolsas são lindas por fora a cor é bem próxima da foto mas por dentro não tem o forro da descrição e o acabamento deixou um pouco a desejar no mais a entrega foi super rápida,neutro
preciso urgente desta mercadoria o prazo maximo era até o dia e até agora não chegou,negativo
otimo material bem resistente espaçosa gostei,positivo
prestação de serviços de alta qualidade,positivo
o produto é de muita baixa qualidade,negativo
produto entregue bem embalado em perfeitas condições,positivo
demorou mas entregou,negativo
a compra efetuada foram dois ursos que rezam um rosa e um azul recebi somente um dos produtos que adquiri o rosa estou aguardando retorno do vendedor sobre o que ocorreu e se vou receber o outro,neutro
produto com defeito apresenta risco por não ser confiável já eviei e mail e efetuei ligações e sem retorno,negativo
